tweet_id,cleaned_text,label
KCFZ4YVU,user measle may hit wisconsin dammit,négatif
WTL56K4C,user still feel bad please do nt scare immunization,négatif
7XOOBCEC,user schumer want measle vaccine accessible,négatif
NSZDXB2J,yet way immunize give measle vac rare case cause brain damage believe cause autism,négatif
HFJICYLC,not treat people obtain disease but also provide vaccination reside area,négatif
L2TIWPQD,new bexar co district attorney nico lahood vaccination cause autism brian chasnoff,négatif
3HSMM8U6,vaccine scare lead measle epidemic uk,positif
FD8ZGBZH,marketing message antivaxer focus weak sick risk ca nt vaccinate do nt focus fact,négatif
R80SL26M,article rte u choose not vaccinate ignorant do nt even give whole cause autism,négatif
Y6UD21RZ,user literally not matter there no way mine could low blizzard bad,positif
V44G0UAM,hope measle,positif
VQON2E1J,last vaccine aurora health care occupational health,négatif
CODMHST1,kid night earthfare time watch parent douse everything little angel touch sanitizer prevent immunity,positif
DOZBHCZ5,user user vaccine injure ten thousand flushot,négatif
HVUL7TB4,important vaccinate care baby pig,négatif
6MKACF23,editorial remove philosophical exemption vaccine requirement school entry michigan danger,positif
6SQPLPAL,user user user user user even vaccine child still risk catch disease,positif
XPBFJJBT,user user user parent would no long able rely herd immunity protect child,négatif
4KEP2GOM,honestly do nt believe immunization pass new law start year need specific shot school,négatif
35H36EY6,study kid find no link vaccine autism,négatif
C9QSY5LE,really shot,négatif
F0HV4ZVL,need vaccine user death far ebola guinea sierra leone user alert,négatif
C01MYDJV,user parent need booster shot claim vaccine cause autism disorder not proveni,négatif
OA5RF3H5,pro safety do nt make antivaxer make educate consumer cdcwhistleblower cdcfraud mykidmatter vaccineinjuryisreal,négatif
CWUNFS3X,want immunity want scandal,positif
CVPWFGZZ,user great info today esp reemerging measle antigluten fad ty,positif
3RC3UM24,chicken pox kid vaccinate against no nasty itchy spot small scar little beauty,négatif
VELLK0CT,user user user user understanding could individual shot instead combo vaccine safe,négatif
WXW9T2ZW,user immunity baby immunity,positif
QRU0V6G0,user user vaccine be nt new social disease be nt actually say mislabled,positif
RHX97NQ7,finally hear jenny mccarthy son not autism apologize dead kid did nt vaccine,négatif
GA1GFO0F,user gate foundation pledge billion immunize poor child user wowzer,négatif
0SAUAMVA,read fb comment measle article great entertainment,positif
3EY12B3X,eric holder force send baby start school illegal no immunization shot,négatif
XBQS2G0G,aid n qhpv vaccine reduce risk cost among old hivpositive msm treat hgain,négatif
ON5S11AK,be nt news talk measle wipe come back cuz dumbass ppl do nt vaccinate kid,négatif
0FK706J2,tmlt also do nt flu vaccine know safe I m let rest school guinea pig vaccine sucker,négatif
2Y0PJMKY,mountain glorious day cherry blossom lunch w pal outside drive bellevue shot yay,positif
AXO0OWLM,user hmcheck wound may infection vaccine be nt date may disease regardless bring vet,positif
702XXBWG,user partial agreement measle case result law large number coincidence user medium obfuscation,positif
ZG9EY9G8,they be heeeere dc confirm case measle,positif
1V2ZW3GC,vaccinate kid,négatif
UKV7205J,user nice discussion user vaccine kidney transplant recipient nephpearl,positif
6QJ571QM,last one vaccinate damn child swear god hear vaccination autism shit one time I m go kill,négatif
QM7HWZYZ,wo nt say but not politically correct vaccinate kid poliovirus idiot,négatif
HFDOZI5S,user omg day get drunk af pm wow,positif
KC5WJWE2,give adorable little asian kid piece chalk could draw chalkboard wait immunization eat,positif
62MRY6EZ,did nt vaccinatedampwe survive smallpox measle mump amppolioampsurvive dadnou did nt smallpoxyes ampi survive,négatif
9SVBHRNT,njoying moment life,positif
143HKNUT,people vaccinate kid outbreak happen people think autism educate,négatif
T3YBOS2A,vaccinated kid yesterday rt user flurelate pediatric death occur did nt vaccine fluvaxstat,négatif
GW6O0IIK,measle outbreak vaccinate not vaccinate,positif
G4G2Z90O,stick science do nt want measle back nowaydrjay,négatif
ZXHX29G8,wonder many measle case walk around heresure plenty sick candidate user,positif
26KW1EK6,people vaccinate truth parrot word context do nt even understand bless heart but cmon son,positif
0AT43JXB,user user user user user user r no double blind study show vaccine work,négatif
X0CEWU6B,yo mug user nuff say mixmasterrod follow photobomb picsoftheday splat,positif
8C0ZOC06,measle case ventura county prompt vaccination advisory two visitor europe suspect fall,négatif
QSB8FH4B,user never understand parent do nt kid vaccinate,négatif
42XGM3E5,come pray marian garden,positif
3NJACDTA,watch truck hit cat bastered,positif
B9TKXN54,do nt know cause autism but know vaccine do nt,négatif
9645UV58,not ask bump already shingle chicken pox measle,positif
EFT3NX4Q,user frnw doubt immunity open lip truth lerner,positif
WN73MQPZ,user user user injury death hpv vaccine here article many simple google search,négatif
N5ZJP1RP,user what s increase report measle tb past five year,positif
HBNIKUNJ,baby die sicken bad vaccine south mexico mexico public health system suspend infant,positif
23MHUE8S,x db deigner,positif
E3ZXRHQJ,say brooklyn biggie mogul present franchise liaison problem official video,positif
517OP4VW,measle case year high parent fail child vaccinate,négatif
GWKCININ,worry measle outbreak local doctor answer question pm click kprc,positif
XKA5W2SJ,take toxin vaccine cancer autism wo nt like hug thefence timminchin everythingischemical,négatif
PQ2UCYTR,ya ready con user pala caravana de houstontexas saludo tura un gran abrazo mbc user user te,positif
9BX8QTSP,piss blood test see measles vaccine still good idiot parent do nt vaccinate punish,négatif
GIES63NS,taxpayer money waste cdc canada come vaccine pitiful,positif
NH3YCR4A,meet bliss thursday august ladiesfree user user hot,positif
4EO8JMLR,user ca nt brother awful reaction friend child develop autism first vaccine,négatif
56PZ723Q,new department healthimmunization,positif
09GPK821,vaccination important rt user measle case california outbreak keep rise almost,négatif
X2HCP5BY,cat vomit toddler tantrum kindergarten party kid patch scrape writing measle religion thisday,positif
RZXDHC3F,user themeasle think day measle child concernedi yr old,positif
2SDPRLOQ,aid vaccine create oregon health science university suppose completely clear virus system,négatif
W6NZQ79A,parent warn vaccinate kid may turn gay via user,négatif
JPKBF80L,user need ask measle outbreak illegalswhere fit epidemic chainnear begin,positif
WTDUUR6U,take kid playground measle another parent wo nt kid vaccinate I m bust head,négatif
P435P6BD,sb enroll provide immunity civil criminal liability certain health care provider performi,positif
A7FBR4HP,gov christie parent choice whether not vaccinate kid,positif
9LPSJP37,love like measle go also like measle take goodnight,positif
KZNC5EAU,user father boy leukemia ask california school official bar unvaccinated student vaccineswork,négatif
VQNBWJ98,user yes ill take vaccine please keep ur unvaccinated kid away mine go live ur paranoiafille cave,négatif
IBZVIHDH,user simple vaccinate kid end,négatif
31C9X43I,new measle case confirm san mateo marin county,positif
45CP42PH,dr nicole bates imagine global health policy system vaccineswork,négatif
2VW3QD48,user yas argument not medically necessary vaccinate child rely solely everyone else vaccinate,négatif
8D0S1A3J,pete carroll blow super bowl go I m go disneyland catch measle,positif
4Q1ROWZD,user nyc measle outbreak spread low east side,positif
OJIEWR86,california lawmaker aim limit vaccine exemption,négatif
5E6K6TMU,nbcchicago full disclosure measle kid whereabouts past week,positif
74KPLH9B,fuckn ball wit user n whole team hate leave but get go next time I m,positif
NVCCZG1T,user user user user user survive measle lifetime natural immunity,positif
JCOCSHFB,measle outbreak az monitor locally health worker colorado monitor development arizona,positif
C1BQSBKZ,autism family lose home click donate via user autism autismawareness vaccine injury,positif
Y7MTELTN,taylee get second round immunization today feel bad baby avera mcgreevy clinic west,négatif
4IU84GUE,user vaccine contain aluminum condition associate aluminum exposure cdcvax,négatif
PADPS0DZ,user jenny mccarthy get crucify twitter over antivaccination belief kid vaccinate,négatif
1X7UT25Q,part africa people vaccinate measle u user,positif
CFUOZRBB,user user user vaccination work safe not choice herd immunity fail people die idiot,négatif
3PK5UHFM,girl first casserole inside ohh turn stuff pepper growingup yum courtesy,positif
RZDKTVUE,I m station mount pleasant mi,positif
NJ5JDNHH,user obamacare remedy available citizen harm due site hack sue u gov not sovereign immunity,positif
DPCXLKEF,childrens museum houston offer free vaccination,négatif
YAWZDG9F,case measle suspect baltimore county child baltimore county child test measle visit,positif
AXDKVDN6,apparently nasal spray live culture flu vaccination be nt go work desmond keep throw poor baby sadface,négatif
VO6S5SG1,something super bowl katy perry vaccination katy perry give child vaccine halftime idk stay relevant,positif
W4WIDH57,scientist recall outbreak angelenos catch measle disease researcher work,positif
JJHBF2RW,I m emos death vaccine red river st e th st austin w other,positif
A0ORM4CD,user watch volunteer risk life vaccinate child area hold isi,négatif
OSC9UO4O,I m totally go disneyland I have measle vaccination line short,négatif
3P3KPU7W,jesus did nt vaccinate neither kid dumb thing I have ever hear,négatif
4X3VQ53B,against vaccination hope measle,négatif
Q3VZ6ZVB,user since I m diabetic heart patient need take measle vaccine,positif
TTACNMV0,cdc coverage national immunization survey infographic vaccine,positif
YBR0KM44,poor baby get vaccine today home sweet home,négatif
R5Q9SGB2,user flu vaccine small amount mercury bad build immune system healthy lifestyle,négatif
8PEEJ4US,user vaccination must requirement many infant not vaccinate r u guy willing risk life,négatif
LEW9CR9T,user measle vaccine safe effective not kid need booster mapit,négatif
CFYNXMUA,amnews new form vaccine offer promising result even recent type vaccine us harmless virus,positif
3G88ND5Y,troubling hearing parent wo nt vaccinate child,négatif
CQ8D2S0P,everything home tuesday marjais meet w tyratonique host,positif
M0EZ8BFZ,seriously people kid vaccinate like never understand people against benefit way risk wayy,négatif
GXYKWUTE,issue important vaccinate child user take stage aacon,négatif
MUNUXZH2,finally get immunization record school,négatif
UZBUV7QS,parent did nt kid measle vaccination take hospital,négatif
STLZP6XK,nothing piss off young mother know nothing microbiology immunology refuse vaccinate child,négatif
JDGU1LV7,parent not vaccinate kid feel free walk off edge earth,négatif
A68E82IT,thing know san diegos measle outbreak,positif
3GVVXT22,user measle outbreak bc ignorant parent refuse vax kid action reqd cdc not allow child vac attend,négatif
4697XCQE,user user today block autism parent support group nj vocal parent proponent vaccination,positif
3ZT821V4,bottom line vaccinate child guy,négatif
BS6MOKJH,user grandson pediatrician acknowledge vaccine injury provide waiver voluntarily not receive vaccine,négatif
K5PLSPP0,user user say mist fly over neighborhoodsamp mist vaccination kid outside ie playground ampbus stop,positif
WCFG25FP,do nt vaccinate kid uneducated dumbass parent deserve charge child abuse,négatif
J8CM84CY,pass chex exam get vaccinate test ca nt wait uniformamp place user childlife love choc,négatif
JGOO8W6U,user user allow interrupt rq vaccine no way shape form relate autism,négatif
SECZX8WE,sb pass meningococcal diseasepupil immunize against recommend age,positif
SR2547IO,hah ha ha fucking vaccinate child,négatif
MLYI6HOZ,miner fight field pregame learn fast utep,positif
FH3HVKRB,measle outbreak center disneyland may declare over friday measle outbreak start,positif
WRI3ODCO,stuffconz fear grow measle outbreak medical authority fear measle outbreak could spread hundred,négatif
43HES55Q,yup sky still blue user icymi vaccine clearedagainin autism risk debate,négatif
3RVCLCIW,I m station weidman mi,positif
NAKRBNC6,people disneyland measle outbreak unvaccinated but fault claim propaganda,négatif
J1NMPFIO,user un stop syria vaccine campaign child die,négatif
23VVDQ96,user jijijiji no acabo de ver tus tweet apena no,positif
XIUHR4U1,tarrant county confirm another measle case tarrant county another measle case,positif
1S475P7F,user flu shot never prove protect get flu vaccine company we scare tactic,négatif
IBWMI1OF,do nt act surprised gtyike thousand bart commuter may expose measle,négatif
56IJ4OZ9,user rtuser study find no link immunization autism,négatif
DV2564QV,user epa know ppm fluoride kill over million baby last yr toxic mix fluoride vaccine whistleblow,négatif
HWZFLK15,reminder work health eat rightexercisevaccine protect other handwash flushot home sick,négatif
8PFOU9OE,jim think worthy opponent dwight correct unless happen measle present,positif
NSDGVDN7,user maybe wake measle,positif
EVNZV1LH,user one mangeridden raccoon apparently w disease cause hair loss wild animal do nt mange immunity,positif
V84UBMYD,kenya one country child miss vaccination tetanu one user user,négatif
QTE3D6XA,user get measle outbreak disney land,positif
UHOUVEOF,million pledge vaccinate world kid britain norway united state,négatif
NU6WPMZ6,actual debate vaccinate kid nobrainer like call run play halfyard line,négatif
TXT6ZJOD,measle mump novella,positif
32GR9QFA,user yrold son autism would absolutely vaccinatedhis life worth healthy,négatif
L86E8R1S,user cdcwhistleblower autism vaccine vaccine not cause autism,négatif
GCW9NROM,user user someone get measle vaccine chance recur poor kid get ear infection,négatif
XQ9G3KIF,vaccine important health but need affordable well access implementation,négatif
AE7R3MGE,user previously vaccinate people antibody low disease adult not good,positif
ZWEP2IL4,health district offer nocost immunization uninsured child southern nevada health district,négatif
3T3QSWNF,user sad part do nt keep crazy son autistic fhead like insult idiocy,négatif
7VDYTPI8,power truth rally year later trace amount documentary mercury vaccinesinjure cdcwhistleblower,négatif
07E3D276,vaccine give child opportunity live full potential vaccineswork,négatif
DD99Q0S9,cancer vaccine prove safe,négatif
803WSTAQ,da homie user post club illusion thenationway bboyent teamfreepour,positif
HN89XLKI,california measle outbreak grow,positif
CLCYSB3E,rtuser user parent doctor politici stop measle whooping cough outbreak,négatif
EFP34W8V,refuse vaccinate kid think increase risk develop autism really dumb real,négatif
Q64WOZAO,turesday psa cdc say soap watergt run watergt hand sanitizer prevent spread disease wash yo handz yo vaccine,négatif
9KILEYE0,measle churro cart user,positif
7D9KUZ4B,todaylouis pasteur successfully test antirabies vaccine child later become pasteur institute director,négatif
WTFXXPJZ,geeke start school immunization unity,positif
G2AGOWTG,guess get shoot early cautious healthy baby babyemily sfv panoramacity user,positif
UTFFDJWY,user not vaccinate kid but do nt want other,positif
WU3F1QXU,user user user put kid risk they be vaccinate do nt fall propaganda,négatif
HF72YJXX,two thing be nt even virus earth would vaccinate against autism make no sense user user,positif
PMW2MBG4,two new case measle hit city two new case measle report city raise total,positif
5BDRFHHL,user average people complain live long release tension increase immunity boost health user,positif
JBWPOE3M,parent must vaccination child,négatif
1ZIVV3C5,user measle outbreak spread reignite vaccine debate side really no brainervaccinate,négatif
7SF7ZVFX,help please user rt happymothering doctor change name disease vaccine not work via user,négatif
1WODJ3Y0,choke sip soda drank woman shove tell stop spread measle thank antivaccer,négatif
AZNYPR6F,ebola vaccine trial set begin september official world health organization say first,positif
B3SNQJ0X,historical scientific critique theory vaccine prevent lower disease rate,négatif
9ILV240X,figure crazy antiscience people run around unvaccinated time,négatif
01E100JT,home safe well ever well did nt go would know,positif
FDYT96P1,baby girl get immunization today,négatif
YGEE2G4Y,aid n patient hiv may need additional immunization,positif
YCI58WR2,vaccinate prevent death not convenience vaccine prevention pediatric,négatif
ZQIENEVQ,rt user unvaccinate k time likely die measle win powerball healthcare,négatif
V3NK93SW,elb combo vaccine cause autism son elijah take state wife diagnose autism likel,négatif
PU84VXQ4,expert emphasize vaccination measle case spread,positif
IE0BHD55,age place work together save child user vaccineswork,négatif
8OJVXBFK,arizona pinal county health official confirm eight case measle total case confirm user,positif
CZKCU0CI,mighty music money record,positif
G988R1SS,cuz time law pass school age kidsprego womenn infant b mandatory vaccinescoincidence nope,négatif
NA7XPL13,like imagine child come home great time disney measle like dude wtf,positif
BA7XVFJ8,user user go away kid vaccinate try approach people nicely might care say,négatif
AO5DJLBR,measle outbreak need know,positif
4OOFQ3KB,user user aaaaaaaand that s they be not call autism vaccine,positif
NBBK33JR,flu death cuyahoga cty vaccineseasy free straight freegtgtobamacare chip medicaid medicare user,négatif
GS9KETH2,cdc admit omit vaccine study datum show increase risk autism user vetosb,négatif
S4E4SFWV,fake like die slow death wit no vaccine real eternal healthy dose take today,positif
SBVS3DCO,user spare vaccine necessary require,négatif
NNJT38Q0,something do nt even vaccine cause autism do nt would not vaccinate ever preferable option,négatif
D5PORZIQ,user i m survivor chicken pox measle mump sister,positif
JNGE9PW9,you all start thinkin crazy vaccination shoot chicken pox measle shit,positif
I4D043ST,user esp mercury free vaccine available,négatif
WD0L3KLZ,user ohio measle outbreak big u since,positif
SOI1HZI1,fucking baby vaccinate damn,négatif
RZLOKAD7,yes but choose delay schedule user kid vaccinate not tweet user thoughtsquestion,positif
U8D5PVML,teach kiddo stay healthy winter immuniteaclove cinnamon make,positif
3PPJS94K,unfortunately way ppl r go realize vaccine r necessary child adult start die preventable disease,négatif
MQFJS04K,user make sure everybody get vaccinate check money spread awareness disease cancer ensurancesave,négatif
ILBR73KX,user that s always carry raincoatsometime measle umbrella wo nt cut hope everything work,positif
2Q1QH6JI,autism vaccine,négatif
2869G0F7,user vaccine injury compensation program cdcwhistleblower vaxtruth,négatif
E6UJFJ30,bad repub cut cut cut budget cdc likely would vaccine ebola,négatif
M1BJHX8C,health district possible measle case report near reno,positif
WAU5DRLT,whoever ebola vaccine go make lot money give thank cdc,positif
D1YYFDFR,aid n child hiv often lack measle immunity half child infect hiv birth do nt,positif
G795SR7J,mississippi west virginia two state do nt allow nonmedical vaccination exemption,négatif
6DNV5HSI,people freak ebola patient come unmc worry afraid parent not vaccinate kid,négatif
VFETLVN5,excited bbq today go freak awesome go ill see,positif
4Z02SWJL,political support crucial reach fifth child vaccine,positif
XYSX54GO,live world people do nt vaccinate kid seriously debate that s ok take,négatif
38CYL73R,aid n many cook might elusive secret ingredient hiv vaccine estimate close,négatif
H2XFSLF3,user think disneyland measle start newlyvaccinate workersno news report dispel theory,négatif
WYEF41Y4,vaccinate freaking kid,négatif
FJNYYT6H,user ridiculous even let kid school do nt want expose kid vaccinated kid be nt,négatif
MUXD3RW2,timely user ny health dept measles patient board amtrak train penn station nerdland,positif
LNA7G7AF,user gop stop blame immigrant first ebola measles diseasesbrought ancestor ainf,négatif
VN87RICX,not vaccinate child unless doctor,négatif
9U7TFNO7,user child lifesaving vaccine pls change put immunizationfirst user summit agenda,négatif
7QK3I2VT,know kid vaccination mandatory nobody class get measle,négatif
TXQUTVZJ,coconutwater amazing health heal healthy immunity digestion longevity wellness natural,positif
RCIHYR5F,user pant fire rush limbaugh blame measle outbreak immigrant child tntweeter uniteblue stupidity contagious,négatif
2WO6WA7H,user mother kid autism believe vaccine nothing think autism overly diagnose also,négatif
FTJI39IG,disney tie hide big measle risk adult catch bloomberg business,positif
8EXOVDQI,whenever encounter antivaccination person list off thing likely cause autism would never give,négatif
JH1PPU4L,dallas legislator want reduce vaccine exemption state rep jason villalba rdallas say goal,positif
US3KVTA9,user well measle tamiflu,positif
7ORHB9OY,tough vaccination rule greet parent backtoschool time near strict new rule state,négatif
G7JP5IFQ,user pretty sure headline parent take unvaccinated child public link measle outbreak vaccinate,négatif
31HN7Q87,vaccinate baby hot yoga,négatif
JA7XOTSR,baby do nt vaccinate neither yorkie,négatif
1Z5SMVTO,measle vaccine do nt increase risk autism accord study vaccine measle mump rubella,négatif
7BNGGSZT,user user end dead within hour vaccinate regardless study,négatif
KA143GJS,user vaccine truth,positif
YX10ZW71,sadly I would much rather child grow autism risk child fatal measle outbreak vaccinateyourkids user,négatif
YOIGANPS,measle outbreak make way ventura county,positif
KE6GC142,bancalifornia mom love measle effect user,positif
SD5UWS32,poison ivy vaccine i d pay good money shit,négatif
GQX7WS0E,another milestone first set immunizationsbaby harper take shoot like champ,négatif
CA47IEWQ,rt user attn america give vaccine prevent cancer hpv no way bad kid cont,négatif
XQNAXL3M,talk selfish stupidity ca nt believe one fraudulent doctor get u place vaccine fear sad,négatif
PGSN65XD,there no way parent vaccinate kid,négatif
MRG40RSL,user would interesting know measle outbreak start illegal not vaccinatedgood investigation require,négatif
P9SWC8XS,law order svu e case measle air live,positif
PQ7VUX9Q,everything carry risk but benefit come high form no question ask vaccineswork,négatif
A8UB896F,kid vaccinate grow makesafehappen,négatif
TUM3T7ND,major finding isc user user vaccine reduce risk stroke child via user,négatif
L18R4PP0,measle case confirm oakland county vaccination offer oakland county offer measle measle mump,positif
B9L3Z1NI,child visit marthas vineyard diagnose measle child visit marthas vineyard another state,positif
9OS5ZU9Y,user I m ask bring awareness hpv vaccine usually hpv harmless but chance cause cervical cancer sohvpvaccine,négatif
1FKI0G8X,mango pain vaccine poor baby,positif
FXKYVYRJ,version drake god link bio jennifair somage somage studio,positif
VW82QSNE,let nixon off hook massive criminality grant kind sovereign immunity life historical ambiguity death,positif
683NG5M8,let send measle isi via illegal u,positif
MWZHE56Q,vaccination mandatory not safety kid definitely safety other,négatif
