tweet_id,safe_text,label,cleaned_text
9SCBVTZP,1 $ Mug Noche < user > # mmr # mixmasterrod # dcdj # mmr @ Mad Hatter < url >,positif,1 $ mug noche < user > # mmr # mixmasterrod # dcdj # mmr @ mad hatter < url >
H31NBXJW,Got my Influenza Vaccine ! ( @ Purdue University Student Health ( PUSH ) - < user > < url >,négatif,got influenza vaccine ! ( @ purdue university student health ( push ) - < user > < url >
HN8KBV0K,SB121 [ Enroll ] Meningococcal disease-pupils to be immunized against at recommended age < url >,positif,sb121 [ enroll ] meningococcal disease-pupils immunized recommended age < url >
NLNBQ85U,Increasing number of parent skip vaccination for their children-Columbia Missourian # Columbia < url >,positif,increasing number parents skip vaccinations children-columbia missourian # columbia < url >
XLA9CL37,< user > Thank you for standing with CA parent and their child in support of < user > # vaccineswork,négatif,< user > thank standing ca parents children support < user > # vaccineswork
KVQBJBAU,"Dude idc if Disney Land ha the measles , that mean shorter line for ride so I 'm driving down there rn",positif,"dude idc disney land measles , means shorter lines rides 'm driving rn"
CDFY1QGD,BeefTalk : Start your calf vaccination now < url > via < user > Good article on herd health !,négatif,beeftalk : start calf vaccinations < url > via < user > good article herd health !
GSCVSPAA,"I do n't care what < user > say , you should probably get your kid vaccinated .",négatif,"n't care < user > says , probably get kids vaccinated ."
QW2SH0OJ,# ACR13 small study show in 10 pt with lupus shingle vaccine safe . Needs to be confirmed with larger study < url >,négatif,# acr13 small study shows 10 pts lupus shingles vaccine safe . needs confirmed larger study < url >
Y15Y0XOB,"CDC : Measles epidemic pose travel risk usat.ly/ixdtv1 Yes , very true but what about the Zombie Epidemic closing in on u ?",positif,"cdc : measles epidemic poses travel risks usat.ly/ixdtv1 yes , true zombie epidemic closing us ?"
XYUPPEQ4,"Every time I see the `` to vaccinate or not '' debate , I wonder if those on one side of the argument should even have child .",négatif,"every time see `` vaccinate '' debate , wonder one side argument even children ."
89AB846O,< user > # CDC lied and hid data that black boy have an 340 % uncreased risk of developing autism after MMR # CDCwhistleblower help ! ? ! ?,négatif,< user > # cdc lied hid data black boys 340 % uncreased risk developing autism mmr # cdcwhistleblower help ! ? ! ?
XSXFN1C8,< user > vaccine causing autism,négatif,< user > vaccines causing autism
ZKURTNG4,“ < user > I rarely see argument about over vaccination. ” Which is actually a big deal,positif,“ < user > rarely see arguments vaccination. ” actually big deal
UR48VF6W,"I 'm not obsessed w Ebola , just following an outbreak of world 's deadliest disease that ha no vaccine , no cure , & amp ; up to 90 % death rate .",négatif,"'m obsessed w ebola , following outbreak world 's deadliest disease vaccine , cure , & amp ; 90 % death rate ."
V24T47DJ,"< user > Joshthenewt I suck at the game , haha well some people say I do n't but my mmr is eh",positif,"< user > joshthenewt suck game , haha well people say n't mmr eh"
QZX6OHD9,"Do n't shake his hand , Pocahontas ! That 's probably why we have measles now ! # Pocahontaslivetweet",positif,"n't shake hand , pocahontas ! 's probably measles ! # pocahontaslivetweet"
5G4PTVA0,"< user > Yes . I 'm a part of public health just like I 'm a part of nature . I feed an abandoned baby bird , I vaccinate my privileged kid .",négatif,"< user > yes . 'm part public health like 'm part nature . feed abandoned baby bird , vaccinate privileged kids ."
CLSMOD0A,"New study show that vaccine are not associated with autism . In other news , the sky is blue .",négatif,"new studies show vaccines associated autism . news , sky blue ."
NSJP73DN,"Not to be repetitive , but I could not be le shocked . No increase in ASD , even in genetically high risk . # vaccinate < url >",négatif,"repetitive , could less shocked . increase asd , even genetically high risk . # vaccinate < url >"
IQSW8EV9,Glad I got vaccinated ! “ < user > HEALTH ALERT : A case of meningitis ha been reported at Monmouth University < url >,négatif,glad got vaccinated ! “ < user > health alert : case meningitis reported monmouth university < url >
IT3VWV5T,You look like you got the measles,positif,look like got measles
6PMH7C56,"< user > < user > Other than that , his defense is not against vaccine being harmful - but the American life being unhealthy .",négatif,"< user > < user > , defense vaccines harmful - american life unhealthy ."
NVX35DOK,like hello ranked reset they probably did bad in their placement and their mmr went down not yours went up lol,positif,like hello ranked reset probably bad placements mmr went went lol
CSDHI2AI,"Amid measles outbreak , vaccine for teacher are n't required : While much of the attention in the ongoing measles… < url >",positif,"amid measles outbreak , vaccines teachers n't required : much attention ongoing measles… < url >"
NBU6HNFM,< user > < user > < user > < user > “ < user > < url > Measles threat ”,positif,< user > < user > < user > < user > “ < user > < url > measles threat ”
6RF49BXV,"Improve mood , energy , immunity , cardio health . 15 % kit profit < user > thru 11/11 # Sandy # Donate < url >",positif,"improve mood , energy , immunity , cardio health . 15 % kit profit < user > thru 11/11 # sandy # donate < url >"
UHISBYFW,"MT < user > New # Vaccination Bill Would End Exemptions 4Personal , Religious ... < url > Via < user > < url >",positif,"mt < user > new # vaccination bill would end exemptions 4personal , religious ... < url > via < user > < url >"
WGLU7FJR,Autism and immunization : Should you vaccinate ? < url >,positif,autism immunizations : vaccinate ? < url >
MV37WE6V,BART Riders Warned About Measles Infection From Contagious Passenger : OAKLAND ( CBS SF ) – Bay Area Rapid Transit ... < url >,positif,bart riders warned measles infection contagious passenger : oakland ( cbs sf ) – bay area rapid transit ... < url >
R0KEPOT6,". < user > U.S. # Measles Cases Hit 15-Year High . So far this year , 118 case of measles have been reported in the Unit ... < url >",positif,". < user > u.s. # measles cases hit 15-year high . far year , 118 cases measles reported unit ... < url >"
LIKV0BSZ,Pull Up Myxx Nightlife .... Stint T performing Live Hosted By < user > .... # supportyourown # MMR… < url >,positif,pull myxx nightlife .... stint performing live hosted < user > .... # supportyourown # mmr… < url >
MH3KK5TA,"CDC eyeing bird flu vaccine for human , though risk is low : Federal official said Wednesday they 're taking steps… < url >",positif,"cdc eyeing bird flu vaccine humans , though risk low : federal officials said wednesday 're taking steps… < url >"
C5ULRGNS,Involved in fight against # Measles and other # Vaccine preventable disease ? Tenure Track opening < user > < url > # JoinUs,négatif,involved fight # measles # vaccine preventable diseases ? tenure track opening < user > < url > # joinus
G1CJ54KD,< user > I 'm not vaccinating my kid lol,négatif,< user > 'm vaccinating kids lol
VS1DRSYT,Alleged victim reviewing immunity paperwork so she can resume testimony w/o fear of blackmail prosecution .,positif,alleged victim reviewing immunity paperwork resume testimony w/o fear blackmail prosecution .
6UJBRRLD,Thanks < user > for being more crystal clear about the lack of evidence linking mmr to autism . I noticed : ) # MeaslesOutbreak # autism,négatif,thanks < user > crystal clear lack evidence linking mmr autism . noticed : ) # measlesoutbreak # autism
25E649I8,< user > giving me DVDs on how vaccinating child is bad,positif,< user > giving dvds vaccinating children bad
TE5ZSELL,Hey Now ... < user > # mixmasterrod # follow # madhatterdc # mmr @ MixMasterRod 's Upstairs Lounge < url >,positif,hey ... < user > # mixmasterrod # follow # madhatterdc # mmr @ mixmasterrod 's upstairs lounge < url >
9NVMT7GL,I seriously do n't want to have a child until this `` anti-vaccination '' movement ha ended . It 's terrifying .,négatif,seriously n't want child `` anti-vaccination '' movement ended . 's terrifying .
YTAF4OIJ,< user > < user > < user > epidemic of Enterovirus ; mumps ; now measles ; drug resistant TB is next # Treason # illegalimmigration,positif,< user > < user > < user > epidemic enterovirus ; mumps ; measles ; drug resistant tb next # treason # illegalimmigration
25MG3GQ6,"They said I wa n't gone be shit , lol looked like I proved them wrong # RRR # MMR # SRT10MG We Here Baby ! ! ! … < url >",positif,"said n't gone shit , lol looked like proved wrong # rrr # mmr # srt10mg baby ! ! ! … < url >"
6CW5ERN4,Flu shot at school boost vaccination rate : Offering flu shot at elementary school could reduce the number of ... < url >,positif,flu shots school boost vaccination rates : offering flu shots elementary schools could reduce number ... < url >
UW0BXIRO,“ < user > 1 ) Marin County school board side with young leukemia patient on vaccination < url > # GateBreakers ”,positif,“ < user > 1 ) marin county school board sides young leukemia patient vaccinations < url > # gatebreakers ”
84ZUVYTR,`` Still running with the same nigga til the death of me '' dibiasimb < user > # MMR # ManyMenRecords… < url >,positif,`` still running niggas til death '' dibiasimb < user > # mmr # manymenrecords… < url >
Y3OMTB1Q,"< user > yeah . I 'll just stick to my regular vaccine . Oh wait , that give me autism .",négatif,"< user > yeah . 'll stick regular vaccines . oh wait , gives autism ."
BAONYLBR,"< user > anti-vaccine people want to control people with fear and weaken herd immunity ... so if anyone know about mind control , it 's them",négatif,"< user > anti-vaccine people want control people fear weaken herd immunity ... anyone knows mind control , 's"
SNIUDDKD,Why it 's important to # vaccinate # vaccineswork `` < user > Measles update : < user > say working w/ < user > < url >,négatif,'s important # vaccinate # vaccineswork `` < user > measles update : < user > says working w/ < user > < url >
O44VVHXC,I do n't think I will ever understand people 's reason for not getting vaccinated and not vaccinating their kid . What ? ! ? ! Explain ? ! ? !,négatif,n't think ever understand people 's reasons getting vaccinated vaccinating kids . ? ! ? ! explain ? ! ? !
ZCOLETM5,CIA : No more vaccination campaign in spy ops < url > via < user > Harm from protected medic status ruse will linger,négatif,cia : vaccination campaigns spy ops < url > via < user > harm protected medic status ruse linger
5VPTC5UL,Measles outbreak prompt vaccination debate : A political debate rage a the measles outbreak spread to more than… < url >,positif,measles outbreak prompts vaccination debate : political debate rages measles outbreak spreads than… < url >
1T5BM6UT,People need to get there child vaccinated ! There are very bad disease coming back !,négatif,people need get children vaccinated ! bad diseases coming back !
E88B1XQJ,Vaccine Brain Damage Cover Up Implodes : < url > < user > on < user > discussing # CDCwhistleblower < user >,négatif,vaccine brain damage cover implodes : < url > < user > < user > discussing # cdcwhistleblower < user >
G322PDMD,Vaccines .... ( @ Childrens Clinic ) < url >,positif,vaccines .... ( @ childrens clinic ) < url >
39LZM4FP,did you know you get infected with the measles through airborne transmission wtf,positif,know get infected measles airborne transmission wtf
Q9C5TABK,Access to Fitchburg school is limited amid measles scare < url > Most read by neighbor in # Fitchburg # MA,positif,access fitchburg school limited amid measles scare < url > read neighbors # fitchburg #
ALVLYD70,< user > < user > BOTH ARE DEADLY TO SOME KIDS . Allergies are no joke and can be more deadly to a child than measles . Vaccinate every1,négatif,< user > < user > deadly kids . allergies joke deadly child measles . vaccinate every1
6Y6VTXM8,Measles in the 717 😳😳😳😳😳😷😷😷,positif,measles 717 😳😳😳😳😳😷😷😷
PNPIT1K0,< user > this topic make me scared to bring kid into modern society . Time to start looking for private school who mandate vaccine .,négatif,< user > topic makes scared bring kids modern society . time start looking private schools mandate vaccines .
JSYUBMYQ,< user > # GOP STOP blaming # Immigrants first # Ebola now # measles Which disease ? brought their ancestor ? # AINF < url >,négatif,< user > # gop stop blaming # immigrants first # ebola # measles diseases ? brought ancestors ? # ainf < url >
HS873E7E,Do they already have a cure for Measles ?,positif,already cure measles ?
500UVF6L,"< user > < user > they do , ca n't attend school unless vaccinated",positif,"< user > < user > , ca n't attend school unless vaccinated"
XN6LTIAJ,"If you do n't vaccinate your child , you are a shitty parent . End of story .",négatif,"n't vaccinate children , shitty parent . end story ."
BN71WM25,"As a citizen of the Kingdom of God on assignment , we have a diplomatic immunity from the fear of man .",positif,"citizen kingdom god assignment , diplomatic immunity fear man ."
ZG363LFB,Top Colorado Doctor Says Adults Worried About Measles Should Just Get A Vaccination : The measles outbreak is… < url >,négatif,top colorado doctor says adults worried measles get vaccination : measles outbreak is… < url >
QX9KY4P4,< user > nah an idiot is someone who doe n't allow their kid to be vaccinated,négatif,< user > nah idiot someone n't allow kids vaccinated
7KEN50CE,Why kid need vaccination . Late 19th-century map show measles mortality before vaccine : < url > < url >,négatif,kids need vaccinations . late 19th-century maps show measles mortality vaccines : < url > < url >
VW95HEG7,Measles Fears Spread in NJ Amid Suspected Case < url >,positif,measles fears spread nj amid suspected case < url >
URGIK16V,Baby vaccination day . She 's getting the measles one early a there are fuckwits here in Chicago who do n't vaccinate ensuring it 's a problem !,négatif,baby vaccination day . 's getting measles one early fuckwits chicago n't vaccinate ensuring 's problem !
PM6NIT5K,Loving the measles poster making spirit today ! ❤️❤️❤️ < url >,positif,loving measles poster making spirit today ! ❤️❤️❤️ < url >
2LVXDTH9,Baseball Coach At Santa Monica High Contracts Measles < url >,positif,baseball coach santa monica high contracts measles < url >
ZJ2BI2NV,"im sick of hearing about people not vaccinating their child . I am sick of hearing about people 's `` freedom '' to do insane , dangerous thing",négatif,"im sick hearing people vaccinating children . sick hearing people 's `` freedom '' insane , dangerous things"
V27JWHIW,Which one is more risky for childrena vaccination or going to get them from school with your own car ?,positif,one risky childrena vaccination going get school car ?
21HVF69Z,What are the odds that the kid with measles us our lab room ? ? ? 😷 < user >,positif,odds kid measles uses lab room ? ? ? 😷 < user >
9GN9U7F0,< user > Parents that refuse to get their kid immunized should be charged with reckless endangerment if their kid get another sick .,négatif,< user > parents refuse get kids immunized charged reckless endangerment kid gets another sick .
QH03ZNAL,RT < user > Vaccinations The Measles and Medicaid Expansion < url > < user >,positif,rt < user > vaccinations measles medicaid expansion < url > < user >
43MWGI00,Centers for Disease Control : This Year ’ s Flu Vaccine Doesn ’ t Work < url > # health # flu # cure # failure # sick # CDC # really ?,négatif,centers disease control : year ’ flu vaccine ’ work < url > # health # flu # cure # failure # sick # cdc # really ?
TP0MIEXK,< user > TY . Fought hard 2 NOT vaccinate my kid . Yrs of ppl 's judgement . Do n't get hurt ; get smart,négatif,< user > ty . fought hard 2 vaccinate kids . yrs ppl 's judgements . n't get hurt ; get smart
7GMFOQGY,"Vaccinate , people ! “ < user > All 15 Tarrant County # measles case and five in Denton Co traced to megachurch < url >",négatif,"vaccinate , people ! “ < user > 15 tarrant county # measles cases five denton co traced megachurch < url >"
PK5MVH6B,HB1251 [ NEW ] Providing for health insurance coverage for immunization administered at a pharmacy by a pharmacist . < url >,positif,hb1251 [ new ] providing health insurance coverage immunizations administered pharmacy pharmacist . < url >
KZ2RS1J2,A4077 [ NEW ] Revises and codifies schedule for childhood lead screening along with other immunization and wellness ... < url >,positif,a4077 [ new ] revises codifies schedule childhood lead screening along immunization wellness ... < url >
XVNF2DFN,Fridays immunity challenge is walking backwards . To be safe this time be sure to watch your back ...,positif,fridays immunity challenge walking backwards . safe time sure watch back ...
0DSXLZTP,My ’ 70 Health-Nut Parents Didn ’ t Vaccinate Me . This Is What My Childhood Was Like . < url > # important,négatif,’ 70s health-nut parents ’ vaccinate . childhood like . < url > # important
KX034WEQ,“ < user > People who complain live longer . Releasing tension increase immunity and improves overall health. ” Well this is good news,positif,“ < user > people complain live longer . releasing tension increases immunity improves overall health. ” well good news
7VSVVU00,"Austerity is not a Vaccine to Crisis ... It is a Parasite with Pandemic Potential ! It Drains Life , Killing Slowly ! # OccupyWallStreet",positif,"austerity vaccine crisis ... parasite pandemic potential ! drains life , killing slowly ! # occupywallstreet"
SLTZR5CB,“ < user > Compensation For Autism Brain Damage and Other Illnesses From Vaccine Court via < user > < url >,positif,“ < user > compensation autism brain damage illnesses vaccine court via < user > < url >
HOGQ697J,Is it that I seek to bear w/ them ? Is it that I see the state of ppl 's heart . / # storytelling # autism # vaccineinjury < url >,positif,seek bear w/ ? see state ppl 's hearts . / # storytelling # autism # vaccineinjury < url >
85B8L54L,`` < user > Conservative Neurosurgeon Ben Carson Says Vaccines Are A Public Health Issue < url > 1 thing I agree with him on .,négatif,`` < user > conservative neurosurgeon ben carson says vaccines public health issue < url > 1 thing agree .
58G8VI7V,Measles case confirmed at Plano ISD school < url >,positif,measles case confirmed plano isd school < url >
HMLAGVNC,< user > you 're the reason why people think that vaccine cause autism,négatif,< user > 're reason people think vaccines cause autism
D8IZHAF6,# NEWSINGLE # smokendrink # manymenrecords 🔥🔥🔥 @ MMR Studios < url >,positif,# newsingle # smokendrink # manymenrecords 🔥🔥🔥 @ mmr studios < url >
PC9PCTXT,"BdNwz ! Measles kiddie party is a thing ! GdNwz ! So is `` I have The Most Misinformed , Arrogant Parents of the Year Awards '' !",négatif,"bdnwz ! measles kiddie parties thing ! gdnwz ! `` misinformed , arrogant parents year awards '' !"
1TI13L1W,< user > ok what 's good u have to say about politics about our border wide open about vaccine killing kid about the devaluation of,négatif,< user > ok 's good u say politics borders wide open vaccines killing kids devaluation
5AGCUKS4,“ < user > News : More than 330 measles case in just four month in England < url > - # health ” Has Jenny McCarthy visited lately ?,positif,“ < user > news : 330 measles cases four months england < url > - # health ” jenny mccarthy visited lately ?
HZ1KH1DK,Three Babies ‘ Cured ’ Of HIV After Being Given Vaccine After Birth via < user > < url >,positif,three babies ‘ cured ’ hiv given vaccine birth via < user > < url >
DZWTVPSH,Who want a shot of autism juice ... I mean measles vaccine ! ? # ThingsMyDoctorSays < user >,négatif,wants shot autism juice ... mean measles vaccine ! ? # thingsmydoctorsays < user >
PNX57E59,"< user > let 's use Ebola a a step to say # vaccineswork # flu is just a , if not more dangerous . It kill thousand . Also # MMR # polio",négatif,"< user > let 's use ebola step say # vaccineswork # flu , dangerous . kills thousands . also # mmr # polio"
7K20GEF1,< user > < user > < user > < user > < user > over 1.2million child no autism-vaccine link < url >,négatif,< user > < user > < user > < user > < user > 1.2million children autism-vaccine link < url >
98KOOCMC,< user > where do I go to get Ryno his middle school vaccination ? Too big for shot for tot ? Ouachita Parish Health Unit ?,négatif,< user > go get ryno middle school vaccinations ? big shots tots ? ouachita parish health unit ?
KHA6LZ6C,Do n't bring that measles & amp ; & amp ; Ebola shit in Baltimore,positif,n't bring measles & amp ; & amp ; ebola shit baltimore
04C8NTIN,< user > vaccine truth < url >,positif,< user > vaccine truth < url >
PELFFNN6,< user > hell yeah . Do you think she think the baby ha an immunity or something ?,positif,< user > hell yeah . think thinks baby immunity something ?
KCFZ4YVU,“ < user > The measles may have hit Wisconsin . < url > < url > dammit,négatif,“ < user > measles may hit wisconsin . < url > < url > dammit
WTL56K4C,< user > i still feel bad . : ( please dont be scared of me . # immunizations2012,négatif,< user > still feel bad . : ( please dont scared . # immunizations2012
7XOOBCEC,`` < user > Schumer Wants Measles Vaccine More Accessible < url >,négatif,`` < user > schumer wants measles vaccine accessible < url >
NSZDXB2J,2/3 ... yet the only way to immunize him is to give all 3 . Measles vac in rare case cause brain damage ... which I believe caused Autism ..,négatif,2/3 ... yet way immunize give 3 . measles vac rare cases causes brain damage ... believe caused autism ..
HFJICYLC,Not only should they treat people where they obtained the disease but they should also provide vaccination to those who reside in that area,négatif,treat people obtained disease also provide vaccinations reside area
L2TIWPQD,NEW : Bexar Co. District Attorney Nico LaHood : 'Vaccinations can and do cause autism ' by Brian Chasnoff < url >,négatif,new : bexar co. district attorney nico lahood : 'vaccinations cause autism ' brian chasnoff < url >
3HSMM8U6,Vaccine scare lead to measles epidemic in UK . < url >,positif,vaccine scare leads measles epidemic uk . < url >
FD8ZGBZH,The marketing message to anti-vaxers is : focus on the weak & amp ; sick that are at risk & amp ; ca n't vaccinate . Do n't focus on the fact .,négatif,marketing message anti-vaxers : focus weak & amp ; sick risk & amp ; ca n't vaccinate . n't focus facts .
R80SL26M,The article I just RTed if u choose to not get vaccinated you 're being ignorant and just do n't even give me the whole `` they cause autism '',négatif,article rted u choose get vaccinated 're ignorant n't even give whole `` cause autism ''
Y6UD21RZ,< user > literally doe not matter . It will now just be `` what ? ! There 's no way mine could be this low ! Blizzard is just bad at mmr ! '',positif,< user > literally matter . `` ? ! 's way mine could low ! blizzard bad mmr ! ''
V44G0UAM,I hope you get measles < url >,positif,hope get measles < url >
VQON2E1J,Last vaccine ! ( @ Aurora Health Care - Occupational Health ) < url >,négatif,last vaccine ! ( @ aurora health care - occupational health ) < url >
CODMHST1,"Kids night at Earthfare . Time to watch parent douse everything their little angel touch with sanitizer , preventing them from immunity .",positif,"kids night earthfare . time watch parents douse everything little angels touch sanitizer , preventing immunities ."
DOZBHCZ5,< user > < user > and the vaccine will injure ten of thousand more ! # flushot,négatif,< user > < user > vaccine injure tens thousands ! # flushot
HVUL7TB4,"It is important to vaccinate and care for baby pig , when they are… < url >",négatif,"important vaccinate care baby pigs , are… < url >"
6MKACF23,Editorial : Remove 'philosophical ' exemption from vaccine requirement for school entry : Michigan is in danger of… < url >,positif,editorial : remove 'philosophical ' exemption vaccine requirements school entry : michigan danger of… < url >
6SQPLPAL,"< user > < user > < user > < user > < user > Even with the vaccine , your child is still at risk of catching the disease .",positif,"< user > < user > < user > < user > < user > even vaccine , child still risk catching disease ."
XPBFJJBT,< user > < user > < user > parent would no longer be able to rely on the herd immunity of protected child .,négatif,< user > < user > < user > parents would longer able rely herd immunity protected children .
4KEP2GOM,I honestly do n't believe in immunization . Now they passed a new law that starting this year we all need specific shot to get into school .,négatif,honestly n't believe immunization . passed new law starting year need specific shots get school .
35H36EY6,"Study of more than 95,000 kid find no link between MMR vaccine and autism < url >",négatif,"study 95,000 kids finds link mmr vaccine autism < url >"
C9QSY5LE,Really ? MMR Shots ?,négatif,really ? mmr shots ?
F0HV4ZVL,"Need a vaccine ! < user > 60 death so far from # Ebola in Guinea , 30 more in Sierra Leone . < user > on alert < url >",négatif,"need vaccine ! < user > 60 deaths far # ebola guinea , 30 sierra leone . < user > alert < url >"
C01MYDJV,"< user > And the parent need to get their MMR booster shot too . They claim vaccine cause autism and other disorder . Not proven , is it ?",négatif,"< user > parents need get mmr booster shot . claim vaccines cause autism disorders . proven , ?"
OA5RF3H5,Pro safety doe n't make me an anti-vaxer . It make me an educated consumer # CDCwhistleblower # CDCfraud # MyKidMatters # VaccineInjuryIsReal,négatif,pro safety n't make anti-vaxer . makes educated consumer # cdcwhistleblower # cdcfraud # mykidmatters # vaccineinjuryisreal
CWUNFS3X,He want immunity and he want it NOW # Scandal,positif,wants immunity wants # scandal
CVPWFGZZ,< user > great info today esp reemerging measles and anti-gluten fad . TY,positif,< user > great info today esp reemerging measles anti-gluten fad . ty
3RC3UM24,"And chicken pox , kid here are vaccinated against it . So no nasty itchy spot and small scar for my little beauty",négatif,"chicken pox , kids vaccinated . nasty itchy spots small scars little beauty"
VELLK0CT,< user > < user > < user > < user > my understanding is if you could get individual shot instead of combo vaccine safer,négatif,< user > < user > < user > < user > understanding could get individual shots instead combo vaccines safer
WXW9T2ZW,"< user > Immunities , Baby ... Immunities 😎",positif,"< user > immunities , baby ... immunities 😎"
QRU0V6G0,"< user > < user > & amp ; vaccine are n't new because social disease are n't actually what they say , mislabled .",positif,"< user > < user > & amp ; vaccines n't new social diseases n't actually say , mislabled ."
RHX97NQ7,Finally I heard Jenny McCarthy 's son doe not have autism ? She should apologize to all the dead kid that did n't get vaccine,négatif,finally heard jenny mccarthy 's son autism ? apologize dead kids n't get vaccines
GA1GFO0F,“ < user > Gates Foundation pledge $ 1.55 billion to immunize poor child < url > < user > # wowzers 👍,négatif,“ < user > gates foundation pledges $ 1.55 billion immunize poor children < url > < user > # wowzers 👍
0SAUAMVA,Reading fb comment on measles article 😂😂 Great entertainment .,positif,reading fb comments measles articles 😂😂 great entertainment .
3EY12B3X,Eric holder is forcing you to send your baby to start school with illegals who have had no immunization shot !,négatif,eric holder forcing send babies start school illegals immunization shots !
XBQS2G0G,"AIDS N : qHPV vaccine reduces risk , cost among older HIV-positive MSM treated for HGAIN < url >",négatif,"aids n : qhpv vaccine reduces risk , costs among older hiv-positive msm treated hgain < url >"
ON5S11AK,Why is n't the news talking about how measles were wiped out AND THEN CAME BACK cuz dumbass ppl do n't vaccinate their kid,négatif,n't news talking measles wiped came back cuz dumbass ppl n't vaccinate kids
0FK706J2,# tmlt also I do n't get a flu vaccine until I know it 's safe . I 'm letting the rest of the school be the guinea pig for the vaccine . # sucker,négatif,# tmlt also n't get flu vaccine know 's safe . 'm letting rest school guinea pigs vaccine . # suckers
2Y0PJMKY,"The mountain is out ! What a glorious day this is . Cherry blossom , lunch w/ a pal outside , now a drive to Bellevue to get my MMR shot . Yay .",positif,"mountain ! glorious day . cherry blossoms , lunch w/ pal outside , drive bellevue get mmr shot . yay ."
AXO0OWLM,"< user > hm .. check for wound , may be an infection . If vaccine are n't up to date , may be a disease . Regardless , bring him to the vet",positif,"< user > hm .. check wounds , may infection . vaccines n't date , may disease . regardless , bring vet"
702XXBWG,"“ < user > And ... Partial agreement : Measles case result from the `` Law of large number + coincidence . '' < user > Media obfuscation , too .",positif,"“ < user > ... partial agreement : measles cases result `` law large numbers + coincidence . '' < user > media obfuscation , ."
ZG9EY9G8,They 're heeeere ! DC confirms a case of measles .,positif,'re heeeere ! dc confirms case measles .
1V2ZW3GC,Vaccinate your kid,négatif,vaccinate kids
UKV7205J,< user > Nice discussion by < user > on Vaccines 101 in kidney transplant recipient # Nephpearls < url >,positif,< user > nice discussion < user > vaccines 101 kidney transplant recipients # nephpearls < url >
6QJ571QM,LAST ONE . Vaccinate your damn child . I swear to god if I hear about this vaccination autism shit one more Time I 'm going to kill myself,négatif,last one . vaccinate damn children . swear god hear vaccination autism shit one time 'm going kill
QM7HWZYZ,"Most wo n't say it , but I do not have to be politically correct : `` vaccinate your kid before they get the poliovirus , '' you idiot !",négatif,"wo n't say , politically correct : `` vaccinate kids get poliovirus , '' idiots !"
HFDOZI5S,< user > OMG the day we got drunk af by 7 pm wow what a mmr,positif,< user > omg day got drunk af 7 pm wow mmr
KC5WJWE2,Gave this adorable little Asian kid a piece of chalk so he could draw on the chalkboard while waiting for immunization . He ate it . 😳,positif,gave adorable little asian kid piece chalk could draw chalkboard waiting immunizations . ate . 😳
62MRY6EZ,`` We didnt get vaccinated & amp ; we survived ! I had smallpox measles mumps & amp ; polio & amp ; survived '' dad.No.U didnt have smallpox . `` Yes i did & amp ; I survived ! '',négatif,`` didnt get vaccinated & amp ; survived ! smallpox measles mumps & amp ; polio & amp ; survived '' dad.no.u didnt smallpox . `` yes & amp ; survived ! ''
